URI,Album,Song Name,Artist,Disc Number,Track Number,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
0AS63m1wHv9n4VVRizK6Hc,Illuminate (Deluxe),Mercy,Shawn Mendes,1,3,78,False,0.554,0.662,11,-4.957,0,0.0821,0.126,0.0,0.111,0.338,148.122,208733,4
7t2bFihaDvhIrd2gn2CWJO,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]","Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",Ty Dolla $ign; The Weeknd; Wiz Khalifa; Mustard,1,1,78,True,0.805,0.33,1,-8.712,0,0.1,0.22,0.0,0.105,0.211,121.97,242983,4
5r5cp9IpziiIsR6b93vcnQ,Walking On A Dream (10th Anniversary Edition),Walking On A Dream,Empire Of The Sun,1,2,78,False,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975,198440,4
3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,Scared to Be Lonely,Martin Garrix; Dua Lipa,1,1,78,False,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972,220883,4
0PDUDa38GO8lMxLCRc4lL1,Mind Of Mine (Deluxe Edition),PILLOWTALK,ZAYN,1,2,78,True,0.584,0.7,11,-4.275,1,0.0456,0.117,0.0,0.0939,0.438,124.944,202747,4
4Of7rzpRpV1mWRbhp5rAqG,Divinely Uninspired To A Hellish Extent,Bruises,Lewis Capaldi,1,2,78,False,0.736,0.308,4,-7.83,1,0.0677,0.946,0.0,0.186,0.361,111.202,220492,4
2iUXsYOEPhVqEBwsqP70rE,Youngblood (Deluxe),Youngblood,5 Seconds of Summer,1,1,78,False,0.597,0.854,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.276,203418,4
35mvY5S1H3J2QZyna3TFe0,Positions,positions,Ariana Grande,1,12,78,True,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,172325,4
63SevszngYpZOwf63o61K4,Nevermind,Nevermind,Dennis Lloyd,1,1,78,False,0.6,0.688,5,-8.339,0,0.201,0.159,1.29e-05,0.409,0.0793,99.977,156600,4
73CMRj62VK8nUS4ezD2wvi,21,Set Fire to the Rain,Adele,1,5,78,False,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,242974,4
7xQAfvXzm3AkraOtGPWIZg,Hollywood's Bleeding,Wow.,Post Malone,1,17,78,True,0.829,0.538,11,-7.359,0,0.212,0.137,1.88e-06,0.103,0.389,99.952,149547,4
6QgjcU0zLnzq5OrUoSZ3OK,Woodstock,Feel It Still,Portugal. The Man,1,4,78,False,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253,4
3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next","thank u, next",Ariana Grande,1,11,78,True,0.72,0.654,1,-5.634,1,0.0647,0.227,0.0,0.101,0.411,106.976,207320,4
6habFhsOp2NvshLv26DqMb,VIDA,Despacito,Luis Fonsi; Daddy Yankee,1,9,78,False,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928,229360,4
6CjtS2JZH9RkDz5UVInsa9,The Heist,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis; Macklemore; Ryan Lewis; Wanz,1,3,78,True,0.781,0.526,6,-6.986,0,0.293,0.0633,0.0,0.0457,0.665,94.993,235613,4
0QZ5yyl6B6utIWkxeBDxQN,Strange Trails,The Night We Met,Lord Huron,1,14,78,False,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,208212,3
5UqCQaDshqbIk3pkhy4Pjg,Levels,Levels - Radio Edit,Avicii,1,1,78,False,0.584,0.889,1,-5.941,0,0.0343,0.0462,0.828,0.309,0.464,126.04,199907,4
2Foc5Q5nqNiosCNqttzHof,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk; Pharrell Williams; Nile Rodgers,1,1,78,False,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,248413,4
1zwMYTA5nlNjZxYrvBB2pV,21,Someone Like You,Adele,1,11,78,False,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,285240,4
07GvNcU1WdyZJq3XxP0kZa,Rumours,Go Your Own Way - 2004 Remaster,Fleetwood Mac,1,5,78,False,0.583,0.947,5,-5.12,1,0.0378,0.0185,0.00109,0.0679,0.803,135.448,223613,4
3cfOd4CMv2snFaKAnMdnvK,Astro Lounge,All Star,Smash Mouth,1,5,78,False,0.731,0.867,11,-5.881,1,0.032,0.0394,0.0,0.0861,0.776,104.02,200373,4
2ihCaVdNZmnHZWt0fvAM7B,My Head Is An Animal,Little Talks,Of Monsters and Men,1,6,78,False,0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961,266600,4
2HbKqm4o0w5wEeEFXm2sD4,"good kid, m.A.A.d city",Money Trees,Kendrick Lamar; Jay Rock,1,5,78,True,0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,386907,4
0puf9yIluy9W0vpMEUoAnN,Sweet Talker (Deluxe Version),Bang Bang,Jessie J; Ariana Grande; Nicki Minaj,1,4,78,False,0.706,0.786,0,-3.417,0,0.091,0.26,0.0,0.38,0.751,150.028,199387,4
2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,MIDDLE CHILD,J. Cole,1,1,78,True,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,213594,4
0qvzXomUDJVaUboy2wMfiS,Flicker (Deluxe),This Town,Niall Horan,1,2,78,False,0.677,0.401,9,-8.467,1,0.0308,0.712,0.0,0.116,0.195,111.825,232852,4
6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,Glimpse of Us,Joji,1,1,78,False,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,233456,3
1c8gk2PeTE04A1pIDH9YMk,21,Rolling in the Deep,Adele,1,1,78,False,0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948,228093,4
5IVuqXILoxVWvWEPm82Jxr,Dangerously In Love,Crazy In Love (feat. Jay-Z),Beyoncé; JAY-Z,1,1,78,False,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,236133,4
2BOqDYLOJBiMOXShCV1neZ,Only Human (Deluxe),Dancing On My Own,Calum Scott,1,7,77,False,0.681,0.174,1,-8.745,1,0.0315,0.837,3.35e-05,0.0983,0.231,112.672,260285,4
1A8j067qyiNwQnZT0bzUpZ,Layers,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs; Cookin' On 3 Burners,1,2,78,False,0.793,0.717,0,-4.759,0,0.0393,0.0927,3.6e-05,0.226,0.466,121.985,195547,4
0NlGoUyOJSuSHmngoibVAs,In A Perfect World (Expanded Edition),All I Want,Kodaline,1,2,77,False,0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,305747,3
6h5PAsRni4IRlxWr6uDPTP,More Than You Know,More Than You Know,Axwell /\ Ingrosso,1,1,77,False,0.646,0.741,5,-4.973,0,0.034,0.0275,0.0,0.312,0.571,123.077,203000,4
3OHfY25tqY28d16oZczHc8,SOS,Kill Bill,SZA,1,2,77,False,0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993,153947,4
76cy1WJvNGJTj78UqeA5zr,Dua Lipa (Deluxe),IDGAF,Dua Lipa,1,5,77,True,0.836,0.544,7,-5.975,1,0.0943,0.0403,0.0,0.0824,0.51,97.028,217947,4
0y60itmpH0aPKsFiGxmtnh,ARDIPITHECUS,Wait a Minute!,WILLOW,1,13,77,False,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,196520,4
5masKPHeAOVNgxdLebIcK7,Cloud Nine,Stole the Show,Kygo; Parson James,1,2,77,False,0.64,0.635,8,-7.565,0,0.226,0.271,0.0,0.319,0.475,100.034,223187,4
0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Easy On Me,Adele,1,1,78,False,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,4
3WkibOpDF7cQ5xntM1epyf,Hot Shot,It Wasn't Me,Shaggy; Rik Rok,1,3,77,False,0.853,0.606,0,-4.596,1,0.072,0.0561,0.0,0.313,0.653,94.753,227600,4
1tkg4EHVoqnhR6iFEXb60y,Shoot For The Stars Aim For The Moon,What You Know Bout Love,Pop Smoke,1,15,77,True,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000,4
5ww2BF9slyYgNOk37BlC4u,La Bachata,La Bachata,Manuel Turizo,1,1,77,False,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,162638,4
2BgEsaKNfHUdlh97KmvFyo,Speak Your Mind (Deluxe),2002,Anne-Marie,1,10,77,False,0.697,0.683,1,-2.881,0,0.117,0.0372,0.0,0.137,0.603,96.133,186987,4
1SOClUWhOi8vHZYMz3GluK,Feel Something,Infinity,Jaymes Young,1,12,77,False,0.671,0.673,11,-6.941,0,0.0444,0.148,5.29e-05,0.304,0.494,121.963,237720,4
1yvMUkIOTeUNtNWlWRgANS,This Is Acting (Deluxe Version),Unstoppable,Sia,1,5,77,False,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,217747,4
5tf1VVWniHgryyumXyJM7w,Sugar,Sugar (feat. Francesco Yates),Robin Schulz; Francesco Yates,1,2,77,False,0.636,0.815,5,-5.098,0,0.0581,0.0185,0.0,0.163,0.636,123.063,219043,4
21RzyxY3EFaxVy6K4RqaU9,Body,Body,Loud Luxury; Brando,1,1,77,False,0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,163216,4
6iaSML1PIYq936g62BDtBq,Death Race For Love (Bonus Track Version),Robbery,Juice WRLD,1,8,77,True,0.623,0.692,2,-5.122,1,0.0504,0.328,0.0,0.153,0.566,79.899,240051,4
2RlgNHKcydI9sayD2Df2xp,Out of the Blue,Mr. Blue Sky,Electric Light Orchestra,1,13,77,False,0.388,0.338,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765,303373,4
6mICuAdrwEjh6Y6lroV2Kg,El Dorado,Chantaje (feat. Maluma),Shakira; Maluma,1,3,77,False,0.852,0.773,8,-2.921,0,0.0776,0.187,3.05e-05,0.159,0.907,102.034,195840,4
3bidbhpOYeV4knp8AIu8Xn,The Heist,Can't Hold Us (feat. Ray Dalton),Macklemore; Ryan Lewis; Macklemore & Ryan Lewis; Ray Dalton,1,2,77,False,0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343,4
3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith; Kim Petras,1,1,77,False,0.719,0.454,2,-7.384,1,0.0707,0.0138,4.83e-06,0.318,0.224,131.007,156943,4
69vToJ9BMbbLlFZo7k7A7B,Only Human (Deluxe),You Are The Reason,Calum Scott,1,4,77,False,0.329,0.235,10,-7.699,1,0.0303,0.918,0.0,0.137,0.22,171.006,204326,3
5ghIJDpPoe3CfHMGu71E6T,Nevermind (Remastered),Smells Like Teen Spirit,Nirvana,1,1,77,False,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920,4
72TFWvU3wUYdUuxejTTIzt,ANTI (Deluxe),Work,Rihanna; Drake,1,4,77,True,0.723,0.534,11,-6.238,1,0.0891,0.0747,0.0,0.0919,0.551,91.974,219320,4
5YUyW9opqNsMSEzzecZih1,Intimo,X,Nicky Jam; J Balvin,1,14,77,False,0.594,0.749,9,-5.298,0,0.056,0.0338,0.00106,0.3,0.694,179.968,172854,4
2K87XMYnUMqLcX3zvtAF4G,Made In The A.M. - Deluxe Edition,Drag Me Down,One Direction,1,2,77,False,0.731,0.703,0,-5.672,0,0.0368,0.111,0.0,0.0657,0.595,138.111,192120,4
09IStsImFySgyp0pIQdqAc,The Middle,The Middle,Zedd; Maren Morris; Grey,1,1,77,False,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,184732,4
5Hroj5K7vLpIG4FNCRIjbP,"Oh, What A Life",Best Day Of My Life,American Authors,1,3,77,False,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000227,0.0558,0.536,100.012,194240,4
2GiJYvgVaD2HtM8GqD9EgQ,Dopamine,Electric Love,BØRNS,1,3,77,False,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,218107,4
1SC5rEoYDGUK4NfG82494W,MONTERO,MONTERO (Call Me By Your Name),Lil Nas X,1,1,77,True,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,137704,4
5CQ30WqJwcep0pYcV4AMNc,Led Zeppelin IV (Deluxe Edition),Stairway to Heaven - Remaster,Led Zeppelin,1,4,76,False,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,482830,4
5R8dQOPq8haW94K7mgERlO,The Fame,Poker Face,Lady Gaga,1,4,76,False,0.851,0.806,4,-4.618,1,0.0787,0.119,1.72e-06,0.121,0.774,119.001,237200,4
0T5iIrXA4p5GsubkhuBIKV,Until I Found You,Until I Found You,Stephen Sanchez,1,1,76,False,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,177720,3
6vN77lE9LK6HP2DewaN6HZ,Harder Than Ever,Yes Indeed,Lil Baby; Drake,1,5,76,True,0.963,0.346,5,-9.309,0,0.53,0.0355,0.0,0.108,0.562,119.957,142273,4
5w9c2J52mkdntKOmRLeM2m,Con Calma,Con Calma,Daddy Yankee; Snow,1,1,76,False,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,193227,4
4lhqb6JvbHId48OUJGwymk,True,Hey Brother,Avicii,1,3,76,False,0.545,0.78,7,-4.867,0,0.0436,0.0309,4.64e-05,0.0828,0.458,125.014,255093,4
52okn5MNA47tk87PeZJLEL,Perception,Let You Down,NF,1,6,76,False,0.661,0.714,5,-5.68,0,0.121,0.314,0.0,0.179,0.464,147.998,212120,4
3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,Where Are You Now,Lost Frequencies; Calum Scott,1,1,76,False,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,148197,4
1I8tHoNBFTuoJAlh4hfVVE,Cloud Nine,Firestone,Kygo; Conrad Sewell,1,5,76,False,0.704,0.634,11,-7.374,0,0.0428,0.393,3.17e-05,0.0952,0.411,113.927,271640,4
4P5KoWXOxwuobLmHXLMobV,Nevermind (Remastered),Come As You Are,Nirvana,1,3,76,False,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,218920,4
4RCWB3V8V0dignt99LZ8vH,All That We Needed,Hey There Delilah,Plain White T's,1,13,76,False,0.658,0.291,2,-10.572,1,0.0292,0.872,0.0,0.114,0.295,103.962,232533,4
7x5xYW5W42OGPAdHUyyguy,What Dreams Are Made Of,Locked Away (feat. Adam Levine),R. City; Adam Levine,1,2,76,False,0.509,0.671,1,-5.709,1,0.0678,0.304,0.0,0.0452,0.55,118.413,227480,5
22vgEDb5hykfaTwLuskFGD,Happiness Begins,Sucker,Jonas Brothers,1,1,76,False,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,181027,4
7H0ya83CMmgFcOhw0UB6ow,Depression Cherry,Space Song,Beach House,1,3,76,False,0.508,0.792,0,-7.311,0,0.0297,0.229,0.124,0.145,0.601,147.067,320467,4
4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton; Nightcrawlers; Mufasa & Hypeman; Mufasa; Dopamine,1,1,76,False,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,169153,4
1x5sYLZiu9r5E43kMlt9f8,Symphony (feat. Zara Larsson),Symphony (feat. Zara Larsson),Clean Bandit; Zara Larsson,1,1,76,False,0.707,0.629,0,-4.581,0,0.0563,0.259,1.6e-05,0.138,0.457,122.863,212459,4
6pD0ufEQq0xdHSsRbg9LBK,un x100to,un x100to,Grupo Frontera; Bad Bunny,1,1,76,False,0.569,0.724,6,-4.076,0,0.0474,0.228,0.0,0.27,0.562,83.118,194563,4
79s5XnCN4TJKTVMSmOx8Ep,Meet The Woo,Dior,Pop Smoke,1,6,76,True,0.548,0.805,7,-5.732,1,0.351,0.212,0.000405,0.408,0.649,142.096,216387,4
3Ua0m0YmEjrMi9XErKcNiR,FACE,Like Crazy,Jimin,1,3,76,False,0.629,0.733,7,-5.445,1,0.0419,0.0025,0.0,0.357,0.362,120.001,212241,4
4l0Mvzj72xxOpRrp6h8nHi,Rare,Lose You To Love Me,Selena Gomez,1,4,76,False,0.516,0.342,4,-8.985,1,0.0425,0.55,0.0,0.21,0.0993,102.819,206459,4
4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B; Megan Thee Stallion,1,1,75,True,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,187541,4
5Q0Nhxo0l2bP3pNjpGJwV1,The Time Of Our Lives,Party In The U.S.A.,Miley Cyrus,1,2,75,False,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,202067,4
1HFfMOxCAT4GAwaPfCdmUs,Waves (Robin Schulz Radio Edit),Waves - Robin Schulz Radio Edit,Mr. Probz; Robin Schulz,1,1,75,False,0.829,0.51,5,-9.334,0,0.0369,0.00821,0.00143,0.0829,0.45,119.994,208133,4
3SdTKo2uVsxFblQjpScoHy,Don't Play That Song (Mono),Stand By Me,Ben E. King,1,7,75,False,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,180056,4
3mRM4NM8iO7UBqrSigCQFH,Greatest,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,1,5,75,False,0.703,0.827,10,-7.179,0,0.0343,0.032,0.00636,0.179,0.944,103.564,285373,4
1fidCEsYlaVE3pHwKCvpFZ,Black Star Elephant,Am I Wrong,Nico & Vinz,1,2,75,False,0.729,0.675,8,-6.003,1,0.0312,0.175,1.58e-06,0.55,0.779,119.968,245867,4
4yNk9iz9WVJikRFle3XEvn,this is what falling in love feels like (554Hz),golden hour,JVKE,1,3,75,False,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,209260,3
3Vi5XqYrmQgOYBajMWSvCi,Planet Her,Need to Know,Doja Cat,1,5,75,True,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,210560,4
0wwPcA6wtMf6HUMpIRdeP7,Views,Hotline Bling,Drake,1,20,75,False,0.891,0.628,2,-7.863,1,0.0551,0.00258,0.00019,0.0504,0.552,134.966,267067,4
6XHVuErjQ4XNm6nDPVCxVX,Indigo,No Guidance (feat. Drake),Chris Brown; Drake,1,11,75,True,0.696,0.454,1,-6.756,0,0.153,0.123,0.0,0.155,0.136,92.928,260640,4
58q2HKrzhC3ozto2nDdN4z,Invasion of Privacy,I Like It,Cardi B; Bad Bunny; J Balvin,1,7,75,True,0.816,0.726,5,-3.998,0,0.129,0.099,0.0,0.372,0.65,136.048,253390,4
0e8nrvls4Qqv5Rfa2UhqmO,MONTERO,THATS WHAT I WANT,Lil Nas X,1,4,75,True,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,143901,4
6cx06DFPPHchuUAcTxznu9,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),Joel Corry; MNEK,1,1,75,False,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,166028,4
58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,Elley Duhé,1,1,75,False,0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727,184448,3
7eBqSVxrzQZtK2mmgRG6lC,I AM YOU,Murder on My Mind,YNW Melly,1,13,75,True,0.759,0.73,0,-7.985,0,0.0516,0.145,3.06e-06,0.11,0.74,115.007,268434,4
3avYqdwHKEq8beXbeWCKqJ,Teenage Dream,Last Friday Night (T.G.I.F.),Katy Perry,1,2,75,False,0.652,0.81,3,-3.789,0,0.0406,0.00129,2.91e-05,0.667,0.732,126.022,230733,4
0TK2YIli7K1leLovkQiNik,Señorita,Señorita,Shawn Mendes; Camila Cabello,1,1,75,False,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,190960,4
2dLLR6qlu5UJ5gk0dKz0h3,Pure Heroine,Royals,Lorde,1,3,75,False,0.674,0.426,7,-9.504,1,0.122,0.12,0.0,0.132,0.337,84.876,190185,4
4tCtwWceOPWzenK2HAIJSb,7/27 (Deluxe),Work from Home (feat. Ty Dolla $ign),Fifth Harmony; Ty Dolla $ign,1,2,75,False,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,214480,4
2y4lAQpi5VTNLu2ldeTdUH,Bangerz (Deluxe Version),We Can't Stop,Miley Cyrus,1,2,75,False,0.613,0.622,1,-5.794,0,0.0334,0.00882,0.0,0.37,0.484,80.003,231240,4
2IRZnDFmlqMuOrYOLnZZyc,Championships,Going Bad (feat. Drake),Meek Mill; Drake,1,9,75,True,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003,180522,4
3VqHuw0wFlIHcIPWkhIbdQ,Metallica (Remastered),Enter Sandman (Remastered),Metallica,1,1,75,False,0.566,0.834,6,-8.412,0,0.0298,0.00277,0.008,0.0625,0.621,123.296,331560,4
0tBbt8CrmxbjRP0pueQkyU,Wolves,Wolves,Selena Gomez; Marshmello,1,1,75,False,0.725,0.804,11,-4.614,0,0.0422,0.124,0.0,0.204,0.31,124.996,197993,4
6Knv6wdA0luoMUuuoYi2i1,My House,My House,Flo Rida,1,2,75,False,0.688,0.702,7,-4.792,0,0.0499,0.0215,0.0,0.128,0.74,94.006,192191,4
1EzrEOXmMH3G43AXT1y7pA,We Sing. We Dance. We Steal Things.,I'm Yours,Jason Mraz,1,2,75,False,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,242947,4
5HQVUIKwCEXpe7JIHyY734,"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg; Wiz Khalifa; Bruno Mars,1,1,75,True,0.715,0.655,0,-6.425,1,0.137,0.0525,0.0,0.115,0.531,95.078,207333,4
017PF4Q3l4DBUiWoXk4OWT,Future Nostalgia,Break My Heart,Dua Lipa,1,9,75,False,0.73,0.729,4,-3.434,0,0.0884,0.167,1.39e-06,0.349,0.467,113.011,221820,4
0FZ4Dmg8jJJAPJnvBIzD9z,Dying to Live,ZEZE (feat. Travis Scott & Offset),Kodak Black; Offset; Travis Scott,1,5,74,True,0.861,0.603,8,-5.788,0,0.176,0.0521,0.0,0.0924,0.504,98.043,228760,4
4ZLzoOkj0MPWrTLvooIuaa,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina; Snøw,1,1,74,False,0.498,0.235,1,-16.541,0,0.188,0.72,0.0,0.144,0.0895,118.917,179080,4
2x7MyWybabEz6Y6wvHuwGE,The Fame,Just Dance,Lady Gaga; Colby O'Donis,1,1,74,False,0.822,0.739,1,-4.541,0,0.0311,0.0264,4.28e-05,0.181,0.745,118.99,241933,4
2KH16WveTQWT6KOG9Rg6e2,Rocky IV,Eye of the Tiger,Survivor,1,4,74,False,0.817,0.599,0,-9.249,0,0.0328,0.132,0.000311,0.0873,0.548,108.873,245640,4
3P3pw6C19j31Rnzgo3JG7o,Blue,Perfect Strangers,Jonas Blue; JP Cooper,1,2,74,False,0.73,0.861,1,-4.1,1,0.0451,0.39,0.0,0.213,0.704,117.965,196613,4
1xzBco0xcoJEDXktl7Jxrr,MUDBOY,Mo Bamba,Sheck Wes,1,9,74,True,0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,183907,4
2H1047e0oMSj10dgp7p2VG,THE E.N.D. (THE ENERGY NEVER DIES),I Gotta Feeling,Black Eyed Peas,1,5,74,False,0.744,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.966,289133,4
2grjqo0Frpf2okIBiifQKs,"The Best Of Earth, Wind & Fire Vol. 1",September,"Earth, Wind & Fire",1,7,74,False,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,215093,4
5qlJg0Wbj3sslxfwiaRNpq,I Don't Want To Miss A Thing EP,"I Don't Want To Miss A Thing - From ""Armageddon"" Soundtrack",Aerosmith,1,1,74,False,0.39,0.649,2,-5.163,1,0.0345,0.172,0.0,0.216,0.144,121.161,299723,4
5DqdesEfbRyOlSS3Tf6c29,YOU,It's You,Ali Gatie,1,1,74,False,0.732,0.463,11,-6.972,0,0.0287,0.374,0.0,0.194,0.397,95.971,212607,4
08bNPGLD8AhKpnnERrAc6G,FRIENDS,FRIENDS,Marshmello; Anne-Marie,1,1,74,True,0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079,202621,4
4wCmqSrbyCgxEXROQE6vtV,Making Mirrors,Somebody That I Used To Know,Gotye; Kimbra,1,3,74,False,0.864,0.495,0,-7.036,1,0.037,0.591,0.000133,0.0992,0.72,129.062,244973,4
3zHq9ouUJQFQRf3cm1rRLu,Delirium (Deluxe),"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,1,9,74,False,0.262,0.606,8,-6.646,1,0.0484,0.247,0.0,0.125,0.275,189.857,252534,4
6jRq8gaZhMUyy5RclRPcAf,everything means nothing,hot girl bummer,blackbear,1,1,74,True,0.782,0.559,6,-7.106,0,0.0767,0.125,0.0,0.385,0.685,129.992,188344,1
3Dv1eDb0MEgF93GpLXlucZ,Hot Pink,Say So,Doja Cat,1,5,74,True,0.787,0.673,11,-4.583,0,0.159,0.264,3.35e-06,0.0904,0.779,110.962,237893,4
7oGZAicScQt96OAW4AruYy,Everything Is 4,Want to Want Me,Jason Derulo,1,1,74,False,0.775,0.68,0,-5.508,0,0.0629,0.00906,0.0,0.109,0.656,114.025,207719,4
7vRriwrloYVaoAe3a9wJHe,us,"i hate u, i love u (feat. olivia o'brien)",gnash; Olivia O'Brien,1,6,74,True,0.492,0.275,6,-13.4,0,0.3,0.687,0.0,0.101,0.18,92.6,251034,4
0g5EKLgdKvNlln7TNqBByK,Encore,Middle,DJ Snake; Bipolar Sunshine,1,2,74,False,0.583,0.695,9,-5.336,1,0.0423,0.0138,0.0,0.0527,0.224,104.879,220573,4
4dASQiO1Eoo3RJvt74FtXB,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne; Wiz Khalifa; Imagine Dragons; X Ambassadors; Logic; Ty Dolla $ign,1,1,74,True,0.502,0.786,9,-4.378,0,0.317,0.255,0.0,0.65,0.739,169.021,243491,4
